ObjectID,Classification,ImageURL,Title,Artist,CreditLine,URL
136984,Print,https://www.moma.org/media/W1siZiIsIjQyNjM2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8407046916feca28,"Poster for Henry Flynt & Nova' Billy Concert, 80 Wooster St., New York, January 27, 1975","Henry Flynt, George Maciunas",The Gilbert and Lila Silverman Fluxus Collection Gift,https://www.moma.org/collection/works/136984
160109,Print,https://www.moma.org/media/W1siZiIsIjI0OTcwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=471ba4d8bacf18ed,Meeting from First Light,James Turrell,"Gift of Peter Blum (by exchange), Committee on Prints and Illustrated Books Fund and The Contemporary Arts Council",https://www.moma.org/collection/works/160109
117099,Photograph,https://www.moma.org/media/W1siZiIsIjE5MzI1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b67a4b01feaf317f,Study of Perspective - Berne,Ai Weiwei,Acquired through the generosity of the Photography Council and the Contemporary Arts Council of The Museum of Modern Art,https://www.moma.org/collection/works/117099
53387,Photograph,https://www.moma.org/media/W1siZiIsIjQ1ODI4MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=069b624ac5b06246,"New Orleans, Louisiana",Lee Friedlander,Purchase,https://www.moma.org/collection/works/53387
55547,Photograph,https://www.moma.org/media/W1siZiIsIjI0MDE5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=dd50779da6d86468,Railroad Crossing,Kurt W. Baasch,Gift of the artist,https://www.moma.org/collection/works/55547
164449,Photograph,https://www.moma.org/media/W1siZiIsIjI1ODY3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a936733650cab36d,"Chemistry square, ear",Wolfgang Tillmans,"The Family of Man Fund, Carol and David Appel Family Fund, and Committee on Photography Fund",https://www.moma.org/collection/works/164449
139624,Photograph,https://www.moma.org/media/W1siZiIsIjE5MjUwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c70cfce93415884b,Borscht,Margaret Bourke-White,Purchase,https://www.moma.org/collection/works/139624
35675,Drawing,https://www.moma.org/media/W1siZiIsIjM3NDc1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c2bd104cd272e45d,John Singer Sargent,Max Beerbohm,Gift in honor of Myron Orlofsky,https://www.moma.org/collection/works/35675
38048,Drawing,https://www.moma.org/media/W1siZiIsIjIwOTI4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a86008c86e5fa044,Number 706 (Red Collage No. III),Anne Ryan,Gift of Elizabeth McFadden,https://www.moma.org/collection/works/38048
146979,Print,https://www.moma.org/media/W1siZiIsIjMyNDI1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5e5f22bcc0ed9e77,Museum. Children not admitted (Museum. Enfants non admis),Marcel Broodthaers,"Partial gift of the Daled Collection and partial purchase through the generosity of Maja Oeri and Hans Bodenmann, Sue and Edgar Wachenheim III, Agnes Gund, Marlene Hess and James D. Zirin, Marie-Josée and Henry R. Kravis, and Jerry I. Speyer and Katherine G. Farley",https://www.moma.org/collection/works/146979
77905,Print,https://www.moma.org/media/W1siZiIsIjI5NTkyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=db7be19b74b5aa4e,Untitled,Maryan S. Maryan,"Gift of Kleiner, Bell & Co.",https://www.moma.org/collection/works/77905
94224,Print,https://www.moma.org/media/W1siZiIsIjQyNjY3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8c7c3f3221a38016,Cathedral City (Cathedrale-ville),Lucjan Mianowski,Gift of Dr. and Mrs. Arthur Lejwa,https://www.moma.org/collection/works/94224
277520,Photograph,https://www.moma.org/media/W1siZiIsIjQ0MDM5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=517bb92f1bbedc30,Untitled,Unidentified photographer,Gift of Peter J. Cohen,https://www.moma.org/collection/works/277520
36924,Drawing,https://www.moma.org/media/W1siZiIsIjI4MTg2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=799d39e7512d144c,"A Rather Ordinary, Vulgar Thought",W. Koenigstein,Purchase,https://www.moma.org/collection/works/36924
